ABWD,ABW,Abbey Wood
BAROW,BIF,Barrow-in-Furness
BARRY,BRY,Barry
BARRYDK,BYD,Barry Docks
BARRYIS,BYI,Barry Island
BRRYLNK,BYL,Barry Links
BRTHMBR,BAU,Barton-on-Humber
BASILDN,BSO,Basildon
BSNGSTK,BSK,Basingstoke
BATABAL,BBL,Bat & Ball
BATHSPA,BTH,Bath Spa
BTHGATE,BHG,Bathgate
BATLEY,BTL,Batley
BTRSBY,BTT,Battersby
BATRSPK,BAK,Battersea Park
BATTLE,BAT,Battle
BTLSBDG,BLB,Battlesbridge
BAYFORD,BAY,Bayford
BCNSFLD,BCF,Beaconsfield
BEARLEY,BER,Bearley
BSDN,BRN,Bearsden
BSTD,BSD,Bearsted
BEASDAL,BSL,Beasdale
BLIEURD,BEU,Beaulieu Road
BEAULY,BEL,Beauly
BEBNGTN,BEB,Bebington
BECCLES,BCC,Beccles
BCKNHMH,BEC,Beckenham Hill
BCKNHMJ,BKJ,Beckenham Junction
BEDFDM,BDM,Bedford
BESJOHN,BSJ,Bedford St Johns
BDHMPTN,BDH,Bedhampton
BDMNSTR,BMT,Bedminster
BEDWRTH,BEH,Bedworth
BEDYN,BDW,Bedwyn
BESTON,BEE,Beeston
BEKSBRN,BKS,Bekesbourne
BLLVUE,BLV,Belle Vue
BLGRVE,BLG,Bellgrove
BELNGHM,BGM,Bellingham
BLSHL,BLH,Bellshill
BELM,BLM,Belmont
BELPER,BLP,Belper
BLTRNAB,BEG,Beltring
BELVEDR,BVD,Belvedere
BEMPTON,BEM,Bempton
BNRHYDN,BEY,Ben Rhydding
BENFLET,BEF,Benfleet
BNTHAM,BEN,Bentham
BNTEY,BTY,Bentley (Hampshire)
BTLYSY,BYK,Bentley (South Yorkshire)
BEREALS,BAS,Bere Alston
BEREFRS,BFE,Bere Ferrers
BERKHMD,BKM,Berkhamsted
BKSWELL,BKW,Berkswell
BRNYARM,BYA,Berney Arms
BERRYB,BBW,Berry Brow
BRLANDS,BRS,Berrylands
BERWICK,BRK,Berwick (Sussex)
BRWCKUT,BWK,Berwick-upon-Tweed
BESCRLA,BES,Bescar Lane
BSCTSTA,BSC,Bescot Stadium
BTCHWTH,BTO,Betchworth
BTHNLGR,BET,Bethnal Green
BETSYCD,BYC,Betws-y-Coed
BEVERLY,BEV,Beverley
BEXHILL,BEX,Bexhill
BEXLEY,BXY,Bexley
BXLYHTH,BXH,Bexleyheath
BCSTN,BCS,Bicester North
BCSTRTN,BIT,Bicester Town
BICKLEY,BKL,Bickley
BDSTON,BID,Bidston
BIGLSWD,BIW,Biggleswade
BILBROK,BBK,Bilbrook
BILERCY,BIC,Billericay
BLNGHM,BIL,Billingham
BILSHST,BIG,Billingshurst
BINGHAM,BIN,Bingham
BNGY,BIY,Bingley
BCHGRV,BCG,Birchgrove
BCNGNOS,BCH,Birchington-on-Sea
BIRCHWD,BWD,Birchwood
BIRKBCK,BIK,Birkbeck
BKDLE,BDL,Birkdale
BRKNHDC,BKC,Birkenhead Central
BRKNHDN,BKN,Birkenhead North
BRKNHDP,BKP,Birkenhead Park
BHAMINT,BHI,Birmingham International
BHAMMRS,BMO,Birmingham Moor Street
BHAMNWS,BHM,Birmingham New Street
BHAMSNH,BSW,Birmingham Snow Hill
BSAUKLD,BIA,Bishop Auckland
BSHB,BBG,Bishopbriggs
BSPSLYD,BIB,Bishops Lydeard
BSHPSFD,BIS,Bishops Stortford
BSSN,BIP,Bishopstone
BISHPTN,BPT,Bishopton
BITERNE,BTE,Bitterne
BLKB,BBN,Blackburn
BLKHTH,BKH,Blackheath
BLCHSRD,BHO,Blackhorse Road
BLCKPLN,BPN,Blackpool North
BLCKPB,BPB,Blackpool Pleasure Beach
BLCKS,BPS,Blackpool South
BLKRDGE,BKR,Blackridge
BLRD,BLK,Blackrod
BCKWATR,BAW,Blackwater
BLAENAU,BFF,Blaenau Ffestiniog
BLARATH,BLA,Blair Atholl
BLAIRHL,BAI,Blairhill
BLKST,BKT,Blake Street
BLAKEDN,BKD,Blakedown
BLANTYR,BLT,Blantyre
BLAYDON,BLO,Blaydon
BLEASBY,BSB,Bleasby
BLTCHLY,BLY,Bletchley
BLOXWCH,BLX,Bloxwich
BLOXN,BWN,Bloxwich North
BLNDLAC,BLN,Blundellsands & Crosby
BLYBDGE,BYB,Blythe Bridge
BODMNPW,BOD,Bodmin Parkway
BODORGN,BOR,Bodorgan
BOGNORR,BOG,Bognor Regis
BOGSTON,BGS,Bogston
BOLTON,BON,Bolton
BLTNODR,BTD,Bolton-on-Dearne
BOOKHAM,BKA,Bookham
BOOTLE,BOC,Bootle
BOOTLNS,BNW,Bootle New Strand
BOOTLOR,BOT,Bootle Oriel Road
BRDS,BBS,Bordesley
BORWGAW,BRG,Borough Green & Wrotham
BORTH,BRH,Borth
BOSHAM,BOH,Bosham
BOSTON,BSN,Boston
BOTLEY,BOE,Botley
BOTESFD,BTF,Bottesford
BORNEND,BNE,Bourne End
BOMO,BMH,Bournemouth
BOURNVL,BRV,Bournville
BOWBRKH,BWB,Bow Brickhill
BOWESPK,BOP,Bowes Park
BOWLING,BWG,Bowling
BOXHAWH,BXW,Boxhill & Westhumble
BRACKNL,BCE,Bracknell
BRADFS,BDQ,Bradford Forster Square
BRADIN,BDI,Bradford Interchange
BRDFDOA,BOA,Bradford-on-Avon
BRDING,BDN,Brading
BRAINTR,BTR,Braintree
BRAINFP,BTP,Braintree Freeport
BMHL,BML,Bramhall
BMLY,BMY,Bramley (Hampshire)
BRMLYSR,BLE,Bramley (West Yorkshire)
BRMPTNC,BMP,Brampton (Cumbria)
BRAMPTN,BRP,Brampton (Suffolk)
BRNCHTN,BCN,Branchton
BNDON,BND,Brandon
BRANKSM,BSM,Branksome
BRYSTNS,BYS,Braystones
BREDBRY,BDY,Bredbury
BREICH,BRC,Breich
BNTFORD,BFD,Brentford
BRTWOOD,BRE,Brentwood
BCWD,BWO,Bricket Wood
BGOALAN,BEA,Bridge of Allan
BOORCHY,BRO,Bridge of Orchy
BRGEND,BGN,Bridgend
BRIDGTN,BDG,Bridgeton
BRDGWTR,BWT,Bridgwater
BRDLNGT,BDT,Bridlington
BRIERFL,BRF,Brierfield
BRGG,BGG,Brigg
BRHOUSE,BGH,Brighouse
BRGHTN,BTN,Brighton
BRIMSDN,BMD,Brimsdown
BRNGTN,BNT,Brinnington
BRSTPWY,BPW,Bristol Parkway
BRSTLTM,BRI,Bristol Temple Meads
BRITHDR,BHD,Brithdir
REDCBSC,RBS,British Steel Redcar
BRITFRY,BNF,Briton Ferry
BRIXTON,BRX,Brixton
BROADGR,BGE,Broad Green
BRBM,BDB,Broadbottom
BRSR,BSR,Broadstairs
BKNHRST,BCU,Brockenhurst
BKHLS,BHS,Brockholes
BROCKLY,BCY,Brockley
BRWHINS,BNR,Brockley Whins
BRMB,BOM,Bromborough
BRMBRK,BMR,Bromborough Rake
BRMCRSS,BMC,Bromley Cross
BROMLYN,BMN,Bromley North
BROMLYS,BMS,Bromley South
BRMSGRV,BMV,Bromsgrove
BRBY,BSY,Brondesbury
BRBYPK,BSP,Brondesbury Park
BRKMNPK,BPK,Brookmans Park
BRKWOOD,BKO,Brookwood
BROOME,BME,Broome
BRFT,BMF,Broomfleet
BRORA,BRA,Brora
BROUGH,BUH,Brough
BRFRY,BYF,Broughty Ferry
BROXBRN,BXB,Broxbourne
BRUCGRV,BCV,Bruce Grove
BRUNDAL,BDA,Brundall
BRUNDLG,BGA,Brundall Gardens
BRUSTAN,BSU,Brunstane
BNWK,BRW,Brunswick
BRUTON,BRU,Bruton
BRYN,BYN,Bryn
BUCKNHM,BUC,Buckenham
BCKY,BCK,Buckley
BKNELL,BUK,Bucknell
BUGLE,BGL,Bugle
BUILTHR,BHR,Builth Road
BULWELL,BLW,Bulwell
BURES,BUE,Bures
BURGESH,BUG,Burgess Hill
BRLEYPK,BUY,Burley Park
BURLYIW,BUW,Burley-in-Wharfedale
BAGE,BNA,Burnage
BNSD,BUD,Burneside
BNHAM,BNM,Burnham
BRNMONC,BUU,Burnham-on-Crouch
BURNLYB,BUB,Burnley Barracks
BURNLYC,BNC,Burnley Central
BURNMR,BYM,Burnley Manchester Road
BRSDE,BUI,Burnside
BISLND,BTS,Burntisland
BRSCGHB,BCB,Burscough Bridge
BRSCGHJ,BCJ,Burscough Junction
BURSLDN,BUO,Bursledon
BRTJYC,BUJ,Burton Joyce
BURTNOT,BUT,Burton-on-Trent
BSTEDMS,BSE,Bury St Edmunds
BUSBY,BUS,Busby
BHILLPK,BHK,Bush Hill Park
BUSHEY,BSH,Bushey
BTLRSLA,BUL,Butlers Lane
BXTD,BXD,Buxted
BUXTON,BUX,Buxton
BYFLANH,BFN,Byfleet & New Haw
BYNEA,BYE,Bynea
CADOXTN,CAD,Cadoxton
CAERGWL,CGW,Caergwrle
CRPHLY,CPH,Caerphilly
CARSWS,CWS,Caersws
CLDRCRX,CAC,Caldercruix
CDCOT,CDT,Caldicot
CLDNNRB,CIR,Caledonian Rd & Barnsbury
CALSTCK,CSK,Calstock
DURSLEY,CDU,Cam & Dursley
CMBLEY,CAM,Camberley
CBORNE,CBN,Camborne
CAMBDGE,CBG,Cambridge
CAMHTH,CBH,Cambridge Heath
CMBSLNG,CBL,Cambuslang
CMDNRD,CMD,Camden Road
CAMELON,CMO,Camelon
CNDAW,ZCW,Canada Water
CANLEY,CNL,Canley
CNCK,CAO,Cannock
CNNB,CNN,Canonbury
CNTBE,CBE,Canterbury East
CNTBW,CBW,Canterbury West
CNTLEY,CNY,Cantley
CPNHRST,CPU,Capenhurst
CARBISB,CBB,Carbis Bay
CDND,CDD,Cardenden
CARDFBR,CDB,Cardiff Bay
CRDFCEN,CDF,Cardiff Central
CARDFQS,CDQ,Cardiff Queen Street
CDNL,CDO,Cardonald
CDRS,CDR,Cardross
CARFIN,CRF,Carfin
CARK,CAK,Cark
CARLILE,CAR,Carlisle
CRTN,CTO,Carlton
CRLK,CLU,Carluke
CMTHN,CMN,Carmarthen
CARMYLE,CML,Carmyle
CRNF,CNF,Carnforth
CNST,CAN,Carnoustie
CNTY,CAY,Carntyne
CRPNDPK,CPK,Carpenders Park
CARRBDG,CAG,Carrbridge
CRSHLTN,CSH,Carshalton
CRSHLTB,CSB,Carshalton Beeches
CRSTRS,CRS,Carstairs
CRTSDYK,CDY,Cartsdyke
CBARPAR,CBP,Castle Bar Park
CCARY,CLC,Castle Cary
CASTLFD,CFD,Castleford
CSTL,CAS,Castleton
CTNM,CSM,Castleton Moor
CATERHM,CAT,Caterham
CATFORD,CTF,Catford
CATFBDG,CFB,Catford Bridge
CATHAYS,CYS,Cathays
CCRT,CCT,Cathcart
CATTAL,CTL,Cattal
CAUSLND,CAU,Causeland
CEFNYBD,CYB,Cefn-y-Bedd
CHDWLHT,CTH,Chadwell Heath
CHADHDD,CFH,Chafford Hundred
CHLFNAL,CFO,Chalfont and Latimer
CHLKWEL,CHW,Chalkwell
CSFD,CFR,Chandlers Ford
CHEF,CEF,Chapel-en-le-Frith
CHAPLTN,CPN,Chapelton
CHPLTWN,CLN,Chapeltown
CHPWKSC,CWC,Chappel & Wakes Colne
CRNG,CHG,Charing
CHRNGXG,CHC,Charing Cross (Glasgow)
CHBURY,CBY,Charlbury
CRLN,CTN,Charlton
CHARTHM,CRT,Chartham
CHASNRD,CSR,Chassen Road
CHTLRT,CTE,Chatelherault
CHATHAM,CTM,Chatham
CHHL,CHT,Chathill
CHDH,CHU,Cheadle Hulme
CHEAM,CHE,Cheam
CHDNGTN,CED,Cheddington
CHELFD,CEL,Chelford
CHLMSFD,CHM,Chelmsford
CHLSFLD,CLD,Chelsfield
CHLTNHM,CNM,Cheltenham Spa
CHEPSTW,CPW,Chepstow
CHTR,CYT,Cherry Tree
CHTSEY,CHY,Chertsey
CHESHNT,CHN,Cheshunt
CHSSN,CSN,Chessington North
CHSSS,CSS,Chessington South
CHST,CTR,Chester
CHSRD,CRD,Chester Road
CLST,CLS,Chester-le-Street
CHFD,CHD,Chesterfield
CHSW,CSW,Chestfield & Swalecliffe
CHETNOL,CNO,Chetnole
CHCHSTR,CCH,Chichester
CLMN,CIL,Chilham
CHLWTH,CHL,Chilworth
CHINGFD,CHI,Chingford
CHNLY,CLY,Chinley
CHIPNHM,CPM,Chippenham
CHSD,CHP,Chipstead
CHIRK,CRK,Chirk
CHSLHRS,CIT,Chislehurst
CHISWCK,CHK,Chiswick
CHOLSEY,CHO,Cholsey
CHORLEY,CRL,Chorley
CHRW,CLW,Chorleywood
CHRISTC,CHR,Christchurch
CHRSTSH,CHH,Christs Hospital
CHOS,CTW,Church & Oswaldtwistle
CHFN,CHF,Church Fenton
CSTR,CTT,Church Stretton
CILMERY,CIM,Cilmeri
CTMSLNK,CTK,City Thameslink
CLACTON,CLT,Clacton-on-Sea
CLANDON,CLA,Clandon
CLPM,CPY,Clapham (North Yorkshire)
CLPHHS,CLP,Clapham High Street
CLPHMJN,CLJ,Clapham Junction
CLAPTON,CPT,Clapton
CLARBRD,CLR,Clarbeston Road
CLRKSTN,CKS,Clarkston
CLAVRDN,CLV,Claverdon
CLYGATE,CLG,Claygate
CLTHRPS,CLE,Cleethorpes
CLELAND,CEA,Cleland
CLTN,CLI,Clifton
CLFDOWN,CFN,Clifton Down
CLITHRO,CLH,Clitheroe
CLOCKHS,CLK,Clock House
CLYNDRW,CUW,Clunderwen
CLYBANK,CYK,Clydebank
COATBDC,CBC,Coatbridge Central
COATBDS,CBS,Coatbridge Sunnyside
COATDYK,COA,Coatdyke
CBHMSDA,CSD,Cobham & Stoke d'Abernon
CODSALL,CSL,Codsall
COGAN,CGN,Cogan
CLCHSTR,COL,Colchester
CLCHRTN,CET,Colchester Town
COLESHL,CEH,Coleshill Parkway
CLHM,CLM,Collingham
CTNG,CLL,Collington
COLNE,CNE,Colne
CLWALL,CWL,Colwall
CBAY,CWB,Colwyn Bay
COMBE,CME,Combe
COMONDL,COM,Commondale
CONGLTN,CNG,Congleton
CONBRGH,CNS,Conisbrough
CONNELF,CON,Connel Ferry
CONONLY,CEY,Cononley
BRKNCPK,CNP,Conway Park
CONWY,CNW,Conwy
CODNBCH,COB,Cooden Beach
COOKHAM,COO,Cookham
COKSBDG,CBR,Cooksbridge
COOMBE,COE,Coombe Junction Halt
COPLSTN,COP,Copplestone
CRBG,CRB,Corbridge
CORBY,COR,Corby
CKHL,CKH,Corkerhill
CRCK,CKL,Corkickle
CORPACH,CPA,Corpach
CORROUR,CRR,Corrour
CORYTON,COY,Coryton
COSELEY,CSY,Coseley
COSFORD,COS,Cosford
COSHAM,CSA,Cosham
CTTGHM,CGM,Cottingham
COTNGLY,COT,Cottingley
COLSDNS,CDS,Coulsdon South
COLSTWN,CDN,Coulsdon Town
COVNTRY,COV,Coventry
COWDEN,CWN,Cowden
CWDNBTH,COW,Cowdenbeath
CRADLYH,CRA,Cradley Heath
CRGDRN,CGD,Craigendoran
CRMLNGT,CRM,Cramlington
CRAVENA,CRV,Craven Arms
CRAWLEY,CRW,Crawley
CRFD,CRY,Crayford
CREDITN,CDI,Crediton
CRESING,CES,Cressing
CRSNGTN,CSG,Cressington
CRWLL,CWD,Creswell
CREWE,CRE,Crewe
CRKRN,CKN,Crewkerne
CRHL,CWH,Crews Hill
CRNLRCH,CNR,Crianlarich
CRICCTH,CCC,Criccieth
CRKLWD,CRI,Cricklewood
CFFT,CFF,Croftfoot
CFPK,CFT,Crofton Park
CMER,CMR,Cromer
CROMFD,CMF,Cromford
CROKSTN,CKT,Crookston
CSGT,CRG,Cross Gates
CFLATTS,CFL,Crossflatts
CROSSHL,COI,Crosshill
CRSKEYS,CKY,Crosskeys
CRSMYLF,CMY,Crossmyloof
CROT,CSO,Croston
CROUCHH,CRH,Crouch Hill
CBGH,COH,Crowborough
CRWHRST,CWU,Crowhurst
CROWLE,CWE,Crowle
CRWTHRN,CRN,Crowthorne
CROY,CRO,Croy
CRYSTLP,CYP,Crystal Palace
CUDNGTN,CUD,Cuddington
CUFFLEY,CUF,Cuffley
CULHAM,CUM,Culham
CULRAIN,CUA,Culrain
CMBRNLD,CUB,Cumbernauld
CUPAR,CUP,Cupar
CURRIEH,CUH,Curriehill
CXTN,CUX,Cuxton
CMBH,CMH,Cwmbach
CWMBRAN,CWM,Cwmbran
CYNGHRD,CYN,Cynghordy
DGNHMDC,DDK,Dagenham Dock
DAISYH,DSY,Daisy Hill
DALGETY,DAG,Dalgety Bay
DLMALLY,DAL,Dalmally
DLMRNOK,DAK,Dalmarnock
DLMY,DAM,Dalmeny
DALMUIR,DMR,Dalmuir
DLREOCH,DLR,Dalreoch
DALRY,DLY,Dalry
DALSTON,DLS,Dalston
DALS,DKJ,Dalston Junction
DALSKLD,DLK,Dalston Kingsland
DALTON,DLT,Dalton
DALWHIN,DLW,Dalwhinnie
DANBY,DNY,Danby
DANESCT,DCT,Danescourt
DANZEY,DZY,Danzey
DLTN,DAR,Darlington
DARNALL,DAN,Darnall
DARSHAM,DSM,Darsham
DARTFD,DFD,Dartford
DRTN,DRT,Darton
DARWEN,DWN,Darwen
DATCHET,DAT,Datchet
DAVNPRT,DVN,Davenport
DAWLISH,DWL,Dawlish
DAWLSHW,DWW,Dawlish Warren
DEAL,DEA,Deal
DEAN,DEN,Dean
MNCRDGT,DGT,Deansgate
DEGANWY,DGY,Deganwy
DEIGHTN,DHN,Deighton
DELAMER,DLM,Delamere
DNDL,DBD,Denby Dale
DENHAM,DNM,Denham
DENHMGC,DGC,Denham Golf Club
DENMRKH,DMK,Denmark Hill
DENT,DNT,Dent
DNTON,DTN,Denton
DEPTFD,DEP,Deptford
DRBY,DBY,Derby
DERBYRD,DBR,Derby Road
DEVNPRT,DPT,Devonport
DWBY,DEW,Dewsbury
DIDCOTP,DID,Didcot Parkway
DIGBY,DIG,Digby & Sowton
DILTONM,DMH,Dilton Marsh
DINASR,DMG,Dinas Rhondda
DINASP,DNS,Dinas Powys
DGLROAD,DGL,Dingle Road
DINGWAL,DIN,Dingwall
DINSDAL,DND,Dinsdale
DNTG,DTG,Dinting
DISLEY,DSL,Disley
DISS,DIS,Diss
DOCKYDP,DOC,Dockyard
DODWRTH,DOD,Dodworth
DOLAU,DOL,Dolau
DOLEHAM,DLH,Doleham
DOLGARG,DLG,Dolgarrog
DLWYDLN,DWD,Dolwyddelan
DONC,DON,Doncaster
DRCHS,DCH,Dorchester South
DRCHW,DCW,Dorchester West
DORE,DOR,Dore
DORKING,DKG,Dorking
DEPDENE,DPD,Dorking Deepdene
DRKGW,DKT,Dorking West
DORMANS,DMS,Dormans
DORIDGE,DDG,Dorridge
DVHL,DVH,Dove Holes
DOVERP,DVP,Dover Priory
DOVRCRT,DVC,Dovercourt
DOVYJN,DVY,Dovey Junction
DOWNHAM,DOW,Downham Market
DRAYGRN,DRG,Drayton Green
DRYP,DYP,Drayton Park
DREMJ,DRM,Drem
DRIFILD,DRF,Driffield
DRIGG,DRI,Drigg
DRTWCHS,DTW,Droitwich Spa
DRONFLD,DRO,Dronfield
DRMCHPL,DMC,Drumchapel
DRMFCHR,DFR,Drumfrochar
DRMGLCH,DRU,Drumgelloch
DRUMRY,DMY,Drumry
DUDESTN,DUD,Duddeston
DUDLPT,DDP,Dudley Port
DUFIELD,DFI,Duffield
DUIRNSH,DRN,Duirinish
DUKEST,DST,Duke Street
DULNGHM,DUL,Dullingham
DMBRTNC,DBC,Dumbarton Central
DMBRTNE,DBE,Dumbarton East
DUMBRCK,DUM,Dumbreck
DUMFRES,DMF,Dumfries
DUMPTNP,DMP,Dumpton Park
DUNBAR,DUN,Dunbar
DUNANE,DBL,Dunblane
DUNCRAG,DCG,Duncraig
DUNDETB,DEE,Dundee
DNFRMQM,DFL,Dunfermline Queen Margaret
DNFRMLE,DFE,Dunfermline Town
DUNKELD,DKD,Dunkeld & Birnam
DNLP,DNL,Dunlop
DNROBIN,DNO,Dunrobin Castle
DNSN,DOT,Dunston
DTNG,DNG,Dunton Green
DRHM,DHM,Durham
DRNGTOS,DUR,Durrington-on-Sea
DYCE,DYC,Dyce
DYFRYNA,DYF,Dyffryn Ardudwy
EGLSCLF,EAG,Eaglescliffe
EALINGB,EAL,Ealing Broadway
ERLSTWN,ERL,Earlestown
ERLY,EAR,Earley
ERLFLD,EAD,Earlsfield
EARLSWD,ELD,Earlswood (Surrey)
ELWD,EWD,Earlswood (West Midlands)
EBOLDON,EBL,East Boldon
ECROYDN,ECR,East Croydon
EDIDBRY,EDY,East Didsbury
EDULWCH,EDW,East Dulwich
EFARLGH,EFL,East Farleigh
EGRFRTH,EGF,East Garforth
EGRNSTD,EGR,East Grinstead
EKILBRD,EKL,East Kilbride
EMALING,EML,East Malling
EMPKWAY,EMD,East Midlands Parkway
ETILBRY,ETL,East Tilbury
EWRTHNG,EWR,East Worthing
EBOURNE,EBN,Eastbourne
EASTBRK,EBK,Eastbrook
ESHS,EST,Easterhouse
ESTHRAK,ERA,Eastham Rake
ELGH,ESL,Eastleigh
ESTRNGT,EGN,Eastrington
EBSFDOM,EBD,Ebbsfleet International
EBWVPWY,EBV,Ebbw Vale Parkway
ECCLES,ECC,Eccles
ECLR,ECS,Eccles Road
ECPK,ECL,Eccleston Park
EDALE,EDL,Edale
EDPK,EDN,Eden Park
EDNB,EBR,Edenbridge
EDNT,EBT,Edenbridge Town
EDGH,EDG,Edge Hill
EDINBUR,EDB,Edinburgh
EDINPRK,EDP,Edinburgh Park
EDMNGRN,EDR,Edmonton Green
EFNGHMJ,EFF,Effingham Junction
EGGESFD,EGG,Eggesford
EGHAM,EGH,Egham
EGTON,EGT,Egton
ELPHNAC,EPH,Elephant & Castle
ELGIN,ELG,Elgin
ELSMPRT,ELP,Ellesmere Port
ELMERSE,ELE,Elmers End
ELMW,ESD,Elmstead Woods
ELMSWEL,ESW,Elmswell
ELSC,ELR,Elsecar
ELSENHM,ESM,Elsenham
ELTR,ELS,Elstree & Borehamwood
ELTHAM,ELW,Eltham
ELTON,ELO,Elton & Orston
ELYY,ELY,Ely
EMRSPKH,EMP,Emerson Park
EMSWTH,EMS,Emsworth
ENFC,ENC,Enfield Chase
ENFLDLK,ENL,Enfield Lock
ENFLDTN,ENF,Enfield Town
ENTWISL,ENT,Entwistle
EPSM,EPS,Epsom
EPSDNS,EPD,Epsom Downs
ERDNGTN,ERD,Erdington
ERIDGE,ERI,Eridge
